the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.89716666711392 40.86236111070519),2,Bronx,205,15,78,33,15,1194,260,BID,backed,10/22/2012,South side Overpass at East Fordham Rd and Grand Concourse,"40°51'44.5""N 73°53'49.8""W",East Fordham Road,Grand Concourse East and West,Bronx,205,Not Applicable,Fordham Road,40.8623611107,-73.8971666671,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84677860407454 40.6856577435641),4,Queens,409,32,38,15,7,3946,339,Bus Route,backed 2,11/13/2017,97-27 Woodhaven Blvd,97-27 Woodhaven Blvd,Woodhaven Blvd,101st Avenue & 97th Avenue,Queens,0,Q52,Not Applicable,40.685666,-73.84678,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.83050360793445 40.71367773686963),4,Queens,409,29,28,14,6,2366,1123,Senior Center,backed,02/10/2014,80-02 Kew Gardens Road,80-02 Kew Gardens Road,80th Road,Queens Blvd & 80th Road,Queens,409,Not Applicable,Not Applicable,40.713686,-73.830505,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97665756756814 40.59660076512053),3,Brooklyn,311,47,47,22,11,3095,1673,General,backed,09/09/2015,203 Avenue U,203 Avenue U,Avenue U,W 5th Street & W 6th Street,Brooklyn,311,Not Applicable,Not Applicable,40.596609,-73.976659,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9557485633816 40.77452772983164),1,Manhattan,108,5,76,28,12,3688,242,Senior Safety,backed,08/03/2017,245 E. 80th Street,245 E. 80th Street,E. 80th Street,2nd Avenue & 3rd Avenue,Manhattan,108,Not Applicable,Not Applicable,40.774536,-73.95575,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94554756400889 40.833119717705664),1,Manhattan,112,7,71,31,13,3059,1885,General,backed,02/05/2015,3740 Broadway,3740 Broadway,Broadway,West 155th Street & West 156th Street,Manhattan,112,M4,Not Applicable,40.833128,-73.945549,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.70139064724336 40.73881272795706),4,Queens,413,23,33,11,3,2019,1077,General,backless,10/29/2013,267-17 Hillside Avenue,267-17 Hillside Avenue,Hillside Avenue,267th & 268th Street,Queens,413,Q43,Not Applicable,40.738821,-73.701392,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8185016046541 40.82116571575922),2,Bronx,210,13,82,34,14,3568,1427,Bus Route,backless,02/04/2017,3948 E Tremont Avenue,3948 E Tremont Avenue,E Tremont Avenue,Sampson Avenue & Cross Bronx Expwy,Bronx,210,BX40,Not Applicable,40.821174,-73.818503,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93943156700753 40.80737472234206),1,Manhattan,111,9,68,30,13,2776,1494,Municipal Facilities,backed,12/08/2014,2005 Madison Avenue,91 East 127th Street,East 127th Street,East 127th Street & East 128th Street,Manhattan,111,Not Applicable,Not Applicable,40.807383,-73.939433,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.98657055817128 40.704151744668145),3,Brooklyn,302,33,52,26,7,3162,1983,BID,backed,09/09/2015,25 Jay Street,25 Jay Street,Jay Street,John Street & Plymouth Street,Brooklyn,302,Not Applicable,DUMBO Improvement District,40.70416,-73.986572,AE,,2
POINT (-73.89229257704223 40.89585670424551),2,Bronx,226,11,81,34,16,3600,50,Bus Route,backed 2,03/11/2017,Van Cortland Park,5983 Broadway,Broadway,Manhattan College Parkway & W 242nd Street,Bronx,208,BX09,Not Applicable,40.895865,-73.892294,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78379661918026 40.776372723321614),4,Queens,407,19,26,11,3,3071,1837,General,backed,06/02/2015,208-11 26th Avenue,208-11 26th Avenue,208-11 26th Avenue,Celarview Expwy & Corporal Kennedy Street,Queens,407,Not Applicable,Not Applicable,40.776381,-73.783798,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93627756589059 40.845842715249354),1,Manhattan,112,10,72,31,13,3153,1593,General,backed,09/12/2015,1313 St Nicholas Avenue,1313 St Nicholas Avenue,St Nicholas Avenue,W 175 Street & W 176 Street,Manhattan,112,Not Applicable,Not Applicable,40.845851,-73.936279,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90714026140618 40.77306814059568),4,Queens,401,22,36,13,14,3382,2460,Municipal Facilities,backed,12/03/2016,22-11 38th Street,22-11 38th Street,38th Street,38th Street & Steinway Street,Queens,401,Not Applicable,Not Applicable,40.7730681406,-73.9071402614,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97944655572502 40.78955872721958),1,Manhattan,107,6,67,31,10,2128,975,Senior Center,backed,03/24/2014,333 West 86th Street,333 West 86th Street,West 86th Street,Riverside Drive and West End Avenue,Manhattan,107,Not Applicable,Not Applicable,40.789567,-73.979448,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96782256515971 40.68304074800283),3,Brooklyn,302,35,57,25,8,2239,0,BID,backed,,470 Vanderbilt Avenue,470 Vanderbilt,Fulton Street,Fulton Street & Atlantic Avenue,Brooklyn,302,B25,Fulton Area Business (FAB) Alliance,40.683049,-73.967824,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87812059140951 40.736393734684995),4,Queens,404,25,35,16,6,664,426,General,backless,02/14/2013,87-09 Grand Avenue,87-09 Grand Avenue,Grand Avenue,Queens Boulevard & Seabury Street,Queens,404,Q58,Not Applicable,40.736402,-73.878122,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.94169756698395 40.7977467251452),1,Manhattan,111,8,68,30,13,3686,0,General,backed,02/14/2017,158 E 115th Street,158 E 115th Street,E 115th Street,Lexington Avenue & 3rd Avenue,Manhattan,111,Not Applicable,Not Applicable,40.797755,-73.941699,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.95267957174616 40.65274075342139),3,Brooklyn,317,40,43,20,9,3895,234,Bus Route,backless 2,08/17/2017,755 Rogers Avenue,755 Rogers Avenue,Rogers Avenue,Lenox Road & Linden Blvd,Brooklyn,317,B49,Not Applicable,40.652749,-73.952681,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9768535562723 40.780813728828264),1,Manhattan,107,6,67,29,10,1831,445,General,backed,03/25/2013,100 West 77th Street,100 West 77th Street,Columbus Avenue,76th Street & 77th Street,Manhattan,107,Not Applicable,Columbus Avenue,40.780822,-73.976855,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00863155680005 40.61085676374994),3,Brooklyn,311,43,47,22,11,3982,440,General,backed 2,02/08/2018,1532 86th Street,1532 86th Street,86th Street,Bay 10th Street & Bay 11th Street,Brooklyn,311,Not Applicable,Not Applicable,40.610865,-74.008633,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.89748857623975 40.86899870940162),2,Bronx,207,11,81,34,13,3522,77,Municipal Facilities,backed 2,07/03/2017,25 W 195th Street,25 W 195th Street,195th Street,Jerome Avenue & Reservoir Avenue,Bronx,207,Not Applicable,Not Applicable,40.869007,-73.89749,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7388326347776 40.75553672555852),4,Queens,411,23,25,11,3,1947,576,General,backed,07/03/2013,242-02 61st Avenue,242-02 61st Avenue,Douglaston Parkway,61st Avenue & 65th Avenue,Queens,411,Q30,Not Applicable,40.755545,-73.738834,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82609060733185 40.75149972937553),4,Queens,407,20,25,16,6,3359,330,General,backed,07/13/2016,43-50 Main Street,43-50 Main Street,Main Street,Elder Avenue & Peck Avenue,Queens,407,Not Applicable,Not Applicable,40.751508,-73.826092,X,AREA OF MINIMAL FLOOD HAZARD,5
